target_contrast_gene_name,Rest,Stim8hr,Stim48hr
AKT1,-17.645542939508644,-15.088532502836442,-15.580027671078147
AKT1S1,-9.478723627109243,-11.536228878480072,-10.754588156456668
AKT2,-14.268467843773715,-17.040755963891424,-15.762600312922006
AKT3,-7.478824734013743,-9.422922783604433,-11.607976629562254
AKTIP,-11.663468067064414,-6.776398121406877,-10.266035636981655
ALAD,-2.6401645876246005,-3.040796611635944,-4.265477153191684
ALAS1,-3.7973742286181937,-4.659713125262166,-3.391216232196335
ALAS2,0.0,0.0,0.0
ALCAM,-6.6755174415445575,-11.7972453838949,-10.67726464571713
ALDH16A1,-9.87019642463734,-8.72884872605298,-6.983038210792906
ALDH18A1,-7.778280876637654,-13.40345944541909,-8.740596605049872
ALDH1A1,0.0,0.0,0.0
ALDH1B1,-5.715344848376647,-12.931702363183328,-10.84944987975719
ALDH2,0.0,0.0,0.0
ALDH3A2,-16.424510355308524,-18.43085589043816,-21.908904755656938
ALDH5A1,-3.787206866488748,-7.65888802947753,-7.623562499125331
ALDH7A1,-1.155360723469825,-0.759621925332013,-2.811647372707487
ALDH8A1,-1.2533336865756557,-1.066627582859311,-0.8450803701944323
ALDH9A1,-14.726766700256238,-17.961662704346065,-20.30162437975871
ALDOA,0.0,0.0,0.0
ALDOC,-9.701411017877527,-5.976870859759966,-22.030703919829847
ALG1,-0.5226607899744061,-3.519349559147316,-0.8164405179928171
ALG10,0.0,0.0,0.0
ALG10B,0.0,0.0,0.0
ALG12,-9.344988860587463,-12.201052757642428,-10.327551081311915
ALG13,-10.452759944025244,-10.038634031308654,-9.114534456087892
ALG14,-1.1890844690372868,-1.9050035813703337,-1.3003461414218356
ALG2,-6.561022196152478,-8.92134373745001,-6.508294304826822
ALG3,-7.598415508445865,-17.163613734046656,-10.053253229575052
ALG5,-7.612947096888338,-12.78278189719076,-9.737920149359493
ALG6,-13.001113811225595,-14.309553259613638,-11.005779641292673
ALG8,-11.364389990064426,-15.440598724370805,-12.79653072599984
ALG9,-3.0748577059870423,-4.996415792007905,-5.358573025600919
ALKAL2,0.0,0.0,0.0
ALKBH1,-4.252606281292737,-5.065726850468829,-5.993692255505177
ALKBH2,-3.626968753819648,-7.4482039918890175,-4.1860333891918415
ALKBH3,-6.897740015933424,-9.07805273738329,-9.179417429077011
ALKBH4,-9.302180633455558,-10.485219261761484,-8.353204805222033
ALKBH5,-25.111612310815783,-30.56444574462472,-31.02410486529209
ALKBH6,-4.182346170537018,-2.3023884258040934,-2.2551445146591247
ALKBH7,-9.526209384419309,-8.278233563658016,-11.082186528448348
ALKBH8,-5.847608480957806,-10.5026816835525,-7.66851511425058
ALMS1,-9.643371871239031,-10.69822168552923,-10.427532417811827
ALOX12,0.0,0.0,0.0
