target_contrast_gene_name,max_de,mean_de,conditions_with_gt10,max_cells,any_offtarget,ontarget_sig_conditions,target_class
DYRK4,5,2.3333333333333335,0,838.0,False,3,kinase
NR1D2,5,2.3333333333333335,0,572.0,False,2,nuclear_receptor
SCYL2,5,2.3333333333333335,0,498.0,False,3,kinase
SLC1A5,5,2.3333333333333335,0,1321.0,False,1,transporter
SLC6A9,5,2.3333333333333335,0,550.0,False,1,transporter
TNFRSF21,5,2.3333333333333335,0,581.0,False,1,cytokine_receptor
AQP3,5,2.0,0,594.0,False,2,ion_channel
IL17A,5,2.0,0,872.0,False,0,cytokine
MFSD2A,5,2.0,0,1004.0,False,2,transporter
RETN,5,2.0,0,1079.0,False,0,cytokine
SLC16A3,5,2.0,0,245.0,False,2,transporter
SLC22A18,5,2.0,0,854.0,False,2,transporter
IRAK3,5,1.6666666666666667,0,551.0,False,0,kinase
LATS2,5,1.6666666666666667,0,437.0,False,1,kinase
EBI3,4,3.6666666666666665,0,1191.0,False,2,cytokine
NUCB2,4,3.6666666666666665,0,1233.0,False,3,cytokine
SLC8B1,4,3.6666666666666665,0,934.0,False,3,transporter
TNIK,4,3.6666666666666665,0,1082.0,False,3,kinase
