,variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
16644,AC142528.1,2.68120965854478,-0.07115098318322426,0.7018364309755264,-0.10137829847950047,0.9192501630129954,0.9994290447843712,cytotoxic_vs_rest,-0.10137829847950049
16645,PAPD7,4.681632191657481,0.06216171426192799,0.6139184031276393,0.10125403302009175,0.9193488049250694,0.9994290447843712,cytotoxic_vs_rest,0.10125403302009175
16646,B3GALT4,10.491603644280415,-0.04080134667501175,0.4031574889073196,-0.10120448657817545,0.9193881352330066,0.9994290447843712,cytotoxic_vs_rest,-0.10120448657817546
16647,ZC3H14,12.637795123326713,-0.03183034656338313,0.31469553773874387,-0.1011464820635883,0.9194341798680533,0.9994290447843712,cytotoxic_vs_rest,-0.10114648206358828
16648,ARMCX4,2.0177820218715907,-0.0763746486640883,0.7559875727394272,-0.10102632823358992,0.919529560186787,0.9994290447843712,cytotoxic_vs_rest,-0.10102632823358991
16649,TMEM63B,3.47468708510841,-0.06873199259141723,0.6807113787044073,-0.10097082954927872,0.919573616453466,0.9994290447843712,cytotoxic_vs_rest,-0.10097082954927872
16651,CTD-2035E11.3,7.115487695700968,0.0688487399503613,0.682562341053272,0.10086806114166774,0.9196551972800906,0.9994290447843712,cytotoxic_vs_rest,0.10086806114166773
16653,COG2,11.698962738486605,0.041452294550511574,0.41145472914702524,0.10074569962154795,0.9197523328446628,0.9994290447843712,cytotoxic_vs_rest,0.10074569962154795
16655,BTBD9,2.526134474729472,-0.07827912422298362,0.7779225846000566,-0.10062585374511047,0.9198474725494634,0.9994290447843712,cytotoxic_vs_rest,-0.10062585374511047
16656,DNAJC13,4.601881971832117,-0.05056432566430067,0.5034790246150561,-0.10042985545020576,0.9200030683590529,0.9994290447843712,cytotoxic_vs_rest,-0.10042985545020576
16657,MT-CO1,6467.384010643205,-0.043702919433423075,0.4362109089955576,-0.10018758937976985,0.9201953986793153,0.9994290447843712,cytotoxic_vs_rest,-0.10018758937976985
16658,FAM46A,17.132992440301535,0.054624468374651,0.5456570266004003,0.10010769716460373,0.9202588245788272,0.9994290447843712,cytotoxic_vs_rest,0.10010769716460374
16659,UBE2N,163.46822314147343,-0.013252494743162554,0.13247741245526679,-0.10003588157066005,0.9203158389352932,0.9994290447843712,cytotoxic_vs_rest,-0.10003588157066005
16660,RFXANK,35.25367974258095,-0.025873437573517188,0.25933560042241693,-0.09976816731437345,0.9205283807280824,0.9994290447843712,cytotoxic_vs_rest,-0.09976816731437343
16661,SMAD5,3.3361045615286953,0.053865510131752836,0.5400555425855503,0.09974068569663831,0.9205501990595552,0.9994290447843712,cytotoxic_vs_rest,0.0997406856966383
16662,PCNA,57.5109697804978,-0.019041745145546764,0.19092156588785741,-0.09973595731312729,0.9205539530454194,0.9994290447843712,cytotoxic_vs_rest,-0.09973595731312727
16663,BTF3,1086.9557184382356,-0.01712367680218396,0.1719768263790232,-0.09956967553549768,0.9206859695710882,0.9994290447843712,cytotoxic_vs_rest,-0.09956967553549768
16664,C12orf49,12.253364559029325,-0.05218858063121203,0.524300376910103,-0.09953946807892593,0.9207099524906293,0.9994290447843712,cytotoxic_vs_rest,-0.09953946807892593
16665,ZNF670,3.258880278076918,0.07388784382701045,0.7426908929382285,0.0994866700663258,0.9207518711379608,0.9994290447843712,cytotoxic_vs_rest,0.09948667006632582
16667,RNF187,35.91901405703661,-0.06842673045625229,0.689620597282193,-0.099223733638356,0.9209606311241562,0.9994290447843712,cytotoxic_vs_rest,-0.099223733638356
