variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
LEF1,7336.530732562599,0.8993353882977662,0.04585599140508125,19.612167586853477,1.2173172813175267e-85,2.0864989654920622e-83,Th2_vs_Th1,19.612167586853477
DUSP2,414.3536373443524,-2.029506059341188,0.10380847414201314,-19.550485411863026,4.0861455937966393e-85,6.954734098420727e-83,Th2_vs_Th1,-19.550485411863026
TNFSF11,12.841013997242065,4.549535738622484,0.2333759489566806,19.49444987352562,1.223633196240317e-84,2.068195025228686e-82,Th2_vs_Th1,19.49444987352562
CADM1,33.79035986146742,2.961878685524985,0.15258198850118843,19.411719001826455,6.143691342392282e-84,1.0312503695343844e-81,Th2_vs_Th1,19.411719001826455
TRIM2,127.05393278966092,2.051804254494515,0.10574555482213581,19.403219907878423,7.24859239382259e-84,1.2083800703647125e-81,Th2_vs_Th1,19.403219907878427
ITK,7043.510575666954,0.5220867256032554,0.026948033231138722,19.373834117139907,1.283354138831296e-83,2.124867781293532e-81,Th2_vs_Th1,19.37383411713991
GLIPR1,1023.3717799818597,0.8058298687181769,0.04162051340484619,19.361363010585737,1.6350166447950881e-83,2.688829062004571e-81,Th2_vs_Th1,19.361363010585737
HEATR9,8.639612707266345,-4.284646090412483,0.22157477885480784,-19.33724638046508,2.610476627470452e-83,4.264187291006935e-81,Th2_vs_Th1,-19.33724638046508
LINC01362,6.886622727702599,5.308653223079921,0.2747054248331281,19.32489402531713,3.3166415175133006e-83,5.3815825263170815e-81,Th2_vs_Th1,19.324894025317132
NEFL,380.1832930475605,3.403167525454467,0.17657533636860634,19.273175945423386,9.022553085023898e-83,1.4543041028900441e-80,Th2_vs_Th1,19.273175945423386
PANK1,32.34579942045151,2.4148768401222944,0.12540213370434242,19.25706340703732,1.2316862176350935e-82,1.9722375559881936e-80,Th2_vs_Th1,19.257063407037325
AXIN2,166.7617988803531,1.2766034568062208,0.06643721857956021,19.21518516428343,2.762468526893667e-82,4.394491599742808e-80,Th2_vs_Th1,19.21518516428343
PLXNA4,28.201411183188533,4.036347231958802,0.2105496249353256,19.1705268209271,6.524473000785728e-82,1.031163301078726e-79,Th2_vs_Th1,19.170526820927105
GNAQ,497.4593393785641,0.8002498510920769,0.04177199492836439,19.1575684250762,8.369281583278947e-82,1.3141931900350084e-79,Th2_vs_Th1,19.157568425076203
